Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
600000	5.0528396	3.2730248	2.6648461	1.5865855	1.0403545	0.6685150	0.5008553	0.0050982	0.0033963	0.0182603	0.0386417	0.0547797	0.0587837	-18.451
605000	5.3224778	3.2867104	2.4935488	1.3910813	0.9812685	0.6376021	0.4961460	0.0047593	0.0038892	0.0198065	0.0891608	0.1510628	0.0601852	-21.422
610000	5.5497933	3.2859784	2.6846864	1.5471727	1.3133267	0.8753528	0.6294707	0.0043331	0.0030741	0.0147855	0.1322813	0.1000010	0.0864048	-29.733
615000	5.0668861	3.2732157	2.5297646	1.5370622	1.1410647	0.7362602	0.5467257	0.0058729	0.0033241	0.0184058	0.1285427	0.0440503	0.0799997	-17.598
620000	5.1236753	3.2822862	2.3597877	1.4067535	1.2352925	0.7953510	0.6387071	0.0049885	0.0038978	0.0185501	0.0530931	0.1350713	0.0717143	-18.532
625000	5.0872931	3.2418002	2.7021266	1.3939689	1.2235033	0.8091357	0.6000806	0.0049502	0.0037198	0.0170270	0.0978140	0.1131654	0.0779751	-17.961
630000	5.0204291	3.2787112	2.5281965	1.3935856	1.0106285	0.6960850	0.5472520	0.0050128	0.0030262	0.0190530	0.2047503	0.0904403	0.0678169	-13.376
635000	5.0444611	3.2179873	2.5732146	1.5198072	1.1253666	0.7584068	0.5918054	0.0056717	0.0033235	0.0217713	0.0770251	0.1398290	0.1460729	-13.507
640000	5.1079919	3.2782531	2.4825767	1.6089044	1.0218396	0.6497281	0.4939230	0.0059154	0.0032348	0.0225403	0.0911410	0.0696225	0.1055221	-16.057
645000	5.0848410	3.2657709	2.5161819	1.4017727	1.0747594	0.7771204	0.6026508	0.0045829	0.0029567	0.0166354	0.0451343	0.0725851	0.1005983	-22.543
650000	5.2149107	3.2596701	2.6568115	1.4444862	1.1368673	0.7706577	0.5446770	0.0051841	0.0032281	0.0200208	0.0800821	0.1092697	0.1234038	-19.750
655000	5.0547213	3.2487870	2.5930527	1.4354765	1.0088372	0.6245091	0.4505131	0.0051005	0.0036483	0.0203153	0.1180687	0.0512202	0.0691887	-17.750
660000	5.0322891	3.2738203	2.5460394	1.4759223	0.9865227	0.5889699	0.4192017	0.0055992	0.0039321	0.0220412	0.0835857	0.0782410	0.0883716	-19.544
665000	5.0389429	3.2403084	2.5318872	1.3941767	1.1702504	0.7363468	0.5436441	0.0060281	0.0034134	0.0172682	0.1124889	0.1520373	0.0397294	-17.023
670000	5.1932794	3.2674912	2.6275911	1.3927476	1.1376670	0.7739025	0.5759420	0.0053986	0.0032180	0.0180333	0.0475559	0.0674129	0.0509498	-18.627
675000	5.2873620	3.2237235	2.6058217	1.3911209	0.9705757	0.6903456	0.5218065	0.0047266	0.0038654	0.0166037	0.0719655	0.0466132	0.0873616	-20.901
680000	5.1011774	3.2070382	2.5546972	1.4054873	1.1427035	0.7463618	0.6068617	0.0053605	0.0032250	0.0205265	0.0669311	0.0473111	0.0666826	-18.348
685000	5.0050274	3.2838782	2.5854420	1.6702645	1.1354620	0.7280769	0.5808632	0.0049536	0.0031185	0.0183933	0.1416690	0.0804282	0.1386942	-18.118
690000	5.0212448	3.2610160	2.6046229	1.4397641	1.1076896	0.7169003	0.5374036	0.0049030	0.0031495	0.0174320	0.0208231	0.0959158	0.0630267	-17.748
695000	5.0554803	3.2718641	2.5874535	1.5080611	1.0594724	0.6758228	0.4944032	0.0053365	0.0036786	0.0213759	0.0714527	0.0786582	0.0916893	-13.608
700000	5.1172147	3.2787599	2.6669948	1.4516274	1.2920859	0.8781214	0.6129485	0.0044479	0.0030738	0.0197385	0.0876501	0.0814316	0.0896892	-17.252
705000	5.0548157	3.2773043	2.4189094	1.6118087	1.0547339	0.6870954	0.4887694	0.0052033	0.0039905	0.0198924	0.1247997	0.1032910	0.0374183	-15.947
710000	5.1220996	3.2116099	2.4469917	1.4626644	1.0443511	0.6674828	0.4750604	0.0052242	0.0036823	0.0190336	0.0560169	0.0663190	0.0731928	-16.416
715000	5.0806880	3.2664523	2.6698183	1.4948364	0.9803979	0.6313471	0.5149010	0.0055051	0.0032803	0.0209256	0.0767367	0.0906656	0.1089265	-23.147
720000	5.2348002	3.2730923	2.6512899	1.4706161	1.2409010	0.7689525	0.6055116	0.0043832	0.0035218	0.0173386	0.0929476	0.1187067	0.1055088	-22.550
725000	5.0377396	3.2627197	2.6307284	1.4617624	0.9419597	0.6223685	0.4382553	0.0050341	0.0041177	0.0191108	0.0437299	0.0796031	0.0531778	-23.469
730000	5.1027365	3.2521270	2.7536488	1.4120490	1.1360457	0.6944607	0.5047886	0.0054899	0.0037324	0.0190792	0.0903660	0.0556537	0.0738332	-19.970
735000	5.0448973	3.1852999	2.6072885	1.5205602	1.0936119	0.6491054	0.5016676	0.0049087	0.0030403	0.0184306	0.0533779	0.1344547	0.1207032	-19.792
740000	5.2010315	3.2486675	2.4122895	1.5234151	1.1319896	0.7233963	0.5274343	0.0053307	0.0034461	0.0191068	0.0570064	0.0511127	0.1019983	-25.891
